id	filename	md5	size	state
4cce67eb-0cb7-4c8f-a81e-0e521c2b0168	4cce67eb-0cb7-4c8f-a81e-0e521c2b0168/05f4836a-8db8-4dbc-a996-090887bf8a64.rna_seq.augmented_star_gene_counts.tsv	fb2875737ffb9fa6fa13ae3c903f683e	4261955	validated
c6a4afd8-8044-475f-b4fd-a1b4cb922976	c6a4afd8-8044-475f-b4fd-a1b4cb922976/58bcabc9-6f6b-43c0-bf40-fa9396c6c9d7.rna_seq.augmented_star_gene_counts.tsv	a2fe2c45fccabd23f8c860c4fc8701b3	4216938	validated
206804c1-e5be-4076-9793-406d11094266	206804c1-e5be-4076-9793-406d11094266/57d2c12f-e3ae-457b-b92c-22002aecdba0.rna_seq.augmented_star_gene_counts.tsv	0e356e298f62166a2b8780f77553dcf3	4251591	validated
8a84b9a5-d453-416b-b481-f15402c2eb54	8a84b9a5-d453-416b-b481-f15402c2eb54/8c0d18d4-98f5-4a66-b62e-7cede666c49f.rna_seq.augmented_star_gene_counts.tsv	6a90260b6cce8a93cdd63247e527e5b2	4234079	validated
4df2233b-3bbc-4d20-9abc-2a09b3f37383	4df2233b-3bbc-4d20-9abc-2a09b3f37383/eb0f8bc7-5f47-4174-8e85-678bd011bc3c.rna_seq.augmented_star_gene_counts.tsv	2a9f52c2eadf6f18224c9f2f8778e873	4251762	validated
575ef8e2-dfbc-48b3-9836-089b94498e09	575ef8e2-dfbc-48b3-9836-089b94498e09/9dffaff8-a482-4940-b53a-527e5a510740.rna_seq.augmented_star_gene_counts.tsv	30ea169210819a302053c8c7d0b60112	4247730	validated
9b13d7e4-d265-4c0b-8aa3-5b4af70ff87d	9b13d7e4-d265-4c0b-8aa3-5b4af70ff87d/8fff7b55-a9c5-4179-a86a-80bff4fed1b0.rna_seq.augmented_star_gene_counts.tsv	4582565f10b5a0f5c9c0a95bebfe3f79	4253831	validated
8d87fbd5-8ca7-4ff6-b8b1-79f098dbca9f	8d87fbd5-8ca7-4ff6-b8b1-79f098dbca9f/bc1ed706-3abf-407c-9133-18169a4cf0e2.rna_seq.augmented_star_gene_counts.tsv	45a3900e1b6227c478227eed639fc99e	4250251	validated
e0ec172b-4ad3-43a5-aa90-6d64ebca1a76	e0ec172b-4ad3-43a5-aa90-6d64ebca1a76/24747d11-c715-48f3-821b-f6dbd6a890fb.rna_seq.augmented_star_gene_counts.tsv	20cb6b90ec6fedec4aa17d7551c00399	4239307	validated
447e3faf-a5f2-4739-b2aa-c907f33b634a	447e3faf-a5f2-4739-b2aa-c907f33b634a/4f3fa7c5-fe72-4b99-8a4f-9f487efc1ef1.rna_seq.augmented_star_gene_counts.tsv	0c2c06a95afeed8fa3473b357206a390	4254469	validated
c6882939-729e-4360-b850-9f7a84df2d7e	c6882939-729e-4360-b850-9f7a84df2d7e/62298f43-7f8b-430e-9a23-0ee0ffbc1162.rna_seq.augmented_star_gene_counts.tsv	87728d2d66bf0b327930a94b865047ca	4227619	validated
1051db4c-40a5-4a98-a239-d96c986aa349	1051db4c-40a5-4a98-a239-d96c986aa349/691c297b-b48d-4e65-84d4-cb4fcdf03fc0.rna_seq.augmented_star_gene_counts.tsv	115e5acd322d7c31a04cb5c85641907a	4238213	validated
1f224847-d745-4dc5-9338-4044413e8ec4	1f224847-d745-4dc5-9338-4044413e8ec4/2db5e0aa-342e-4766-8725-c1d677fd52b2.rna_seq.augmented_star_gene_counts.tsv	a337b0d6fed67a60f56a14c56a480650	4252712	validated
28c03f8f-7f7a-4a53-a840-db0f4052ed26	28c03f8f-7f7a-4a53-a840-db0f4052ed26/2d4c2aed-34ae-4232-9b42-29b1a821f791.rna_seq.augmented_star_gene_counts.tsv	a2f282bede097da9a4a2e07e87d01952	4241246	validated
d6882616-b77d-4d4c-90dc-7318c57876e1	d6882616-b77d-4d4c-90dc-7318c57876e1/4e01a01d-eded-4d02-b8aa-1920c6997726.rna_seq.augmented_star_gene_counts.tsv	2e0cc0032cbf3de861b1d790e12175fc	4246536	validated
130343f0-62f4-4400-8002-e596edb3c02a	130343f0-62f4-4400-8002-e596edb3c02a/fcc2a5c0-ec23-43b5-b616-9b03c8ff4129.rna_seq.augmented_star_gene_counts.tsv	cc67e83a01a50164150750a5edfd413a	4252447	validated
