"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0042742","defense response to bacterium","8/104","322/18842",0.0248447204968944,4.5011944577162,4.72096416760462,0.000414485197923786,0.00707844138978583,0.00590911447218888,"OAS3/OAS2/OAS1/GBP5/IGHG1/ISG15/RNF213/GBP1",8
"GO:0045839","negative regulation of mitotic nuclear division","4/104","64/18842",0.0625,11.3233173076923,6.16299227277147,0.000431527014162468,0.00720046848370908,0.00601098323495656,"BIRC5/CENPF/BUB1B/BUB1",4
"GO:0039529","RIG-I signaling pathway","3/104","27/18842",0.111111111111111,20.1303418803419,7.41070506429757,0.000433911119541309,0.00720046848370908,0.00601098323495656,"OAS3/OASL/DDX60",3
"GO:0050995","negative regulation of lipid catabolic process","3/104","27/18842",0.111111111111111,20.1303418803419,7.41070506429757,0.000433911119541309,0.00720046848370908,0.00601098323495656,"CIDEC/CIDEA/PLIN1",3
"GO:0033047","regulation of mitotic sister chromatid segregation","4/104","65/18842",0.0615384615384615,11.1491124260355,6.10630743107781,0.00045788745727466,0.00747837158120153,0.00624297798137466,"BIRC5/CENPF/BUB1B/BUB1",4
"GO:0032760","positive regulation of tumor necrosis factor production","5/104","116/18842",0.0431034482758621,7.80918435013263,5.48035390112501,0.000459160961210782,0.00747837158120153,0.00624297798137466,"OAS3/OAS2/OAS1/IFIH1/LEP",5
"GO:0045931","positive regulation of mitotic cell cycle","5/104","117/18842",0.0427350427350427,7.74243918474688,5.45012022716632,0.000477578982420257,0.00770698559703882,0.00643382598238781,"DLGAP5/BIRC5/AURKA/RRM2/UBE2C",5
"GO:0090068","positive regulation of cell cycle process","7/104","252/18842",0.0277777777777778,5.03258547008547,4.80121532442318,0.000497007087454698,0.00794759515302557,0.00663468791386893,"DLGAP5/BIRC5/NCAPG/BUB1/AURKA/RRM2/UBE2C",7
"GO:1903557","positive regulation of tumor necrosis factor superfamily cytokine production","5/104","120/18842",0.0416666666666667,7.54887820512821,5.36152633193523,0.000536182481339774,0.00849680166375372,0.00709316796082489,"OAS3/OAS2/OAS1/IFIH1/LEP",5
"GO:0051281","positive regulation of release of sequestered calcium ion into cytosol","3/104","30/18842",0.1,18.1173076923077,6.99013602246282,0.000595088942807622,0.00927754317839666,0.00774493446268115,"CXCL9/CXCL10/CXCL11",3
"GO:0140694","membraneless organelle assembly","9/104","427/18842",0.0210772833723653,3.81863628175104,4.38908650968767,0.000595999078543958,0.00927754317839666,0.00774493446268115,"DLGAP5/BIRC5/KIF11/KIF4A/ANLN/TPX2/CENPF/NEK2/RNF213",9
"GO:0051784","negative regulation of nuclear division","4/104","70/18842",0.0571428571428571,10.3527472527473,5.84036476989324,0.000607161557182926,0.00936839630776112,0.0078207790606665,"BIRC5/CENPF/BUB1B/BUB1",4
