"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0042770","signal transduction in response to DNA damage","6/94","185/18842",0.0324324324324324,6.500977573318,5.32406393321573,0.000328875563049003,0.00626868908592185,0.00511678026207178,"WDR76/CLSPN/TIMELESS/SP100/DTX3L/PARP9",6
"GO:0002697","regulation of immune effector process","8/94","347/18842",0.0230547550432277,4.62125206940953,4.82097362068536,0.000343223108571909,0.00646334600840835,0.00527566781977366,"BST2/CD80/IFNL1/B2M/DHX58/DDX60/RSAD2/HLA-B",8
"GO:0031570","DNA integrity checkpoint signaling","5/94","122/18842",0.040983606557377,8.2150331356819,5.6611381378659,0.000363271592038893,0.0067594464090094,0.00551735801442529,"WDR76/CLSPN/TIMELESS/DTX3L/PARP9",5
"GO:0048002","antigen processing and presentation of peptide antigen","4/94","68/18842",0.0588235294117647,11.7909887359199,6.31212684968526,0.000370563786019391,0.00681401408880362,0.00556189855920126,"TAP1/TAP2/B2M/HLA-B",4
"GO:0000075","cell cycle checkpoint signaling","6/94","191/18842",0.031413612565445,6.29675838253314,5.20971798274474,0.000389905423716525,0.007086304386848,0.0057841538989526,"WDR76/CLSPN/TIMELESS/DTX3L/PARP9/KNL1",6
"GO:0045070","positive regulation of viral genome replication","3/94","30/18842",0.1,20.0446808510638,7.3918861742682,0.000442758418338568,0.00795438399842738,0.00649271872990133,"ADAR/LARP1/IFIT1",3
"GO:0002230","positive regulation of defense response to virus by host","3/94","31/18842",0.0967741935483871,19.398078242965,7.25915042247885,0.000488430674465284,0.0085777207212274,0.00700151363041897,"STAT1/DTX3L/PARP9",3
"GO:0042531","positive regulation of tyrosine phosphorylation of STAT protein","3/94","31/18842",0.0967741935483871,19.398078242965,7.25915042247885,0.000488430674465284,0.0085777207212274,0.00700151363041897,"IFNL1/PARP9/PARP14",3
"GO:0051259","protein complex oligomerization","7/94","280/18842",0.025,5.01117021276596,4.78824266650233,0.000505038505668521,0.00877083538177665,0.00715914232596781,"OAS1/PNPT1/ISG15/B2M/GBP5/IFIH1/SAMHD1",7
"GO:0001932","regulation of protein phosphorylation","8/94","369/18842",0.021680216802168,4.3457302658133,4.5959344104887,0.000515900944690453,0.00886102391814482,0.00723275818351451,"STAT2/MYD88/ADAR/HERC5/CD80/IFNL1/PARP9/PARP14",8
"GO:0050730","regulation of peptidyl-tyrosine phosphorylation","4/94","80/18842",0.05,10.0223404255319,5.72615456210541,0.000687600343316606,0.0116559329203707,0.00951408606895596,"CD80/IFNL1/PARP9/PARP14",4
"GO:0042509","regulation of tyrosine phosphorylation of STAT protein","3/94","35/18842",0.0857142857142857,17.1811550151976,6.78456812262133,0.000700996605575716,0.0116559329203707,0.00951408606895596,"IFNL1/PARP9/PARP14",3
"GO:0043330","response to exogenous dsRNA","3/94","35/18842",0.0857142857142857,17.1811550151976,6.78456812262133,0.000700996605575716,0.0116559329203707,0.00951408606895596,"OAS1/IFIT1/IFIH1",3
"GO:0043331","response to dsRNA","3/94","39/18842",0.0769230769230769,15.4189852700491,6.38251520099444,0.000964813151909123,0.0158737153308838,0.0129568259292394,"OAS1/IFIT1/IFIH1",3
"GO:0007260","tyrosine phosphorylation of STAT protein","3/94","40/18842",0.075,15.0335106382979,6.29118894768128,0.00103929029754862,0.0169209451569635,0.0138116210595277,"IFNL1/PARP9/PARP14",3
"GO:0042325","regulation of phosphorylation","8/94","412/18842",0.0194174757281553,3.89217103904152,4.20289308649987,0.00105541084676223,0.0170062593143234,0.0138812582341381,"STAT2/MYD88/ADAR/HERC5/CD80/IFNL1/PARP9/PARP14",8
"GO:0034342","response to type III interferon","2/94","10/18842",0.2,40.0893617021277,8.75485152524431,0.00107963726573258,0.0172191127177554,0.0140549985614166,"IFNL2/IFNL1",2
"GO:0051099","positive regulation of binding","3/94","41/18842",0.0731707317073171,14.6668396471199,6.20308856228937,0.00111730785850578,0.0176399210388336,0.0143984808560234,"TRIM21/DTX3L/PARP9",3
"GO:0002699","positive regulation of immune effector process","6/94","235/18842",0.025531914893617,5.11779085559076,4.49778266526095,0.00115271098729973,0.0180168727314947,0.0147061654379712,"CD80/B2M/DHX58/DDX60/RSAD2/HLA-B",6
"GO:0050691","regulation of defense response to virus by host","3/94","42/18842",0.0714285714285714,14.3176291793313,6.11802247137689,0.00119892933688574,0.0185537282529942,0.0151443705711883,"STAT1/DTX3L/PARP9",3
"GO:0070098","chemokine-mediated signaling pathway","4/94","95/18842",0.0421052631578947,8.43986562150056,5.14753648504405,0.00130756682946609,0.0199589571383892,0.0162913803089388,"CCR8/CCR1/CXCL11/CXCL10",4
"GO:0016185","synaptic vesicle budding from presynaptic endocytic zone membrane","2/94","11/18842",0.181818181818182,36.4448742746615,8.32628975510973,0.00131527356702117,0.0199589571383892,0.0162913803089388,"MX2/MX1",2
"GO:0051701","biological process involved in interaction with host","5/94","168/18842",0.0297619047619048,5.96567882472138,4.57775999114488,0.00153800674345713,0.0230850089746295,0.0188430015673306,"SIGLEC1/TRIM21/PLSCR1/CD80/IFIT1",5
"GO:0070142","synaptic vesicle budding","2/94","12/18842",0.166666666666667,33.4078014184397,7.95158052160132,0.00157320716135134,0.0230850089746295,0.0188430015673306,"MX2/MX1",2
"GO:1903131","mononuclear cell differentiation","8/94","439/18842",0.0182232346241458,3.65278922115058,3.98225549733469,0.00157895264316489,0.0230850089746295,0.0188430015673306,"BATF2/TNFSF13B/CD80/IFNL1/SMC4/PSMB8/RSAD2/HLA-B",8
"GO:0002709","regulation of T cell mediated immunity","4/94","100/18842",0.04,8.01787234042553,4.98236943025925,0.00158035570075838,0.0230850089746295,0.0188430015673306,"CD80/B2M/RSAD2/HLA-B",4
"GO:1900225","regulation of NLRP3 inflammasome complex assembly","3/94","47/18842",0.0638297872340425,12.7944771389769,5.73251085848922,0.00166323597216554,0.0240707205971735,0.01964758282909,"MYD88/GBP5/EIF2AK2",3
"GO:1990868","response to chemokine","4/94","103/18842",0.0388349514563107,7.78434207808304,4.88867958518224,0.00176177869928159,0.025033273699792,0.0204332610864047,"CCR8/CCR1/CXCL11/CXCL10",4
